flows,variant_label,throughput_mbps,mean_delay_ms,pdr_pct,drop_ratio_pct,total_energy_consumption_j
10,NewReno,3.940593,13.811477,96.209677,2.712610,670.792504
10,FR,3.792574,10.281102,96.811283,2.468189,668.941270
10,GFR,3.792574,10.281102,96.811283,2.468189,668.941270
10,JA-GFR,3.792574,10.281102,96.811283,2.468189,668.941270
20,NewReno,6.965269,22.427692,97.294123,1.795528,676.756548
20,FR,7.344446,18.319089,96.321676,2.705577,677.847812
20,GFR,7.144474,15.032650,95.631380,3.781850,676.231768
20,JA-GFR,7.344446,18.319089,96.321676,2.705577,677.847812
30,NewReno,8.747746,28.082486,97.240666,2.108705,679.599083
30,FR,8.563023,42.873326,93.981420,3.650020,679.800577
30,GFR,8.333459,36.741033,94.929394,3.576435,678.743176
30,JA-GFR,8.563023,42.873326,93.981420,3.650020,679.800577
40,NewReno,9.221252,23.175046,96.604735,2.502436,680.443975
40,FR,8.372890,40.269770,92.274891,6.178104,679.948389
40,GFR,8.372890,40.269770,92.274891,6.178104,679.948389
40,JA-GFR,8.372890,40.269770,92.274891,6.178104,679.948389
50,NewReno,9.842438,36.230337,96.149789,2.733826,682.726685
50,FR,8.601370,70.525545,93.070560,5.073804,680.920052
50,GFR,8.567059,61.050469,90.662268,5.312738,681.282461
50,JA-GFR,8.399019,61.380067,91.204713,6.168419,680.629921
