packets_per_second,variant_label,throughput_mbps,mean_delay_ms,pdr_pct,drop_ratio_pct,total_energy_consumption_j
100,NewReno,5.480452,12.953529,97.055234,2.175413,674.755515
100,FR,5.210342,21.913862,95.634484,3.403343,673.923891
100,GFR,5.174458,27.377796,92.358697,5.165499,674.138648
100,JA-GFR,5.174458,27.377796,92.358697,5.165499,674.138648
200,NewReno,7.507731,18.155813,97.482855,1.862531,676.601667
200,FR,6.573532,33.465263,92.021835,6.407726,676.736677
200,GFR,6.787290,40.495524,92.742696,5.978773,676.937555
200,JA-GFR,6.573532,33.465263,92.021835,6.407726,676.736677
300,NewReno,8.747746,28.082486,97.240666,2.108705,679.599083
300,FR,8.563023,42.873326,93.981420,3.650020,679.800577
300,GFR,8.333459,36.741033,94.929394,3.576435,678.743176
300,JA-GFR,8.563023,42.873326,93.981420,3.650020,679.800577
400,NewReno,9.332416,24.822897,97.494041,1.630912,679.409368
400,FR,8.480770,42.460054,92.900362,6.455113,679.502358
400,GFR,8.293099,39.293212,93.036099,6.000808,678.686931
400,JA-GFR,8.470569,50.455215,93.588936,5.787536,679.452977
500,NewReno,9.791430,20.251643,97.270775,2.099863,678.864054
500,FR,9.219202,58.615129,91.799211,5.749223,680.108797
500,GFR,9.368484,56.479747,93.210264,4.857066,680.033425
500,JA-GFR,9.219202,58.615129,91.799211,5.749223,680.108797
