speed_mps,variant_label,throughput_mbps,mean_delay_ms,pdr_pct,drop_ratio_pct,total_energy_consumption_j
5,NewReno,9.893442,24.513730,97.575488,1.897573,678.764362
5,FR,9.413312,28.510972,93.794485,5.601412,679.060988
5,GFR,9.251422,36.008084,93.247618,5.829678,677.416141
5,JA-GFR,9.655373,27.565150,93.218374,5.941168,679.437686
10,NewReno,9.933843,17.398360,97.769176,1.332585,679.947563
10,FR,8.991078,25.719428,93.252412,5.515095,678.869015
10,GFR,8.991078,25.719428,93.252412,5.515095,678.869015
10,JA-GFR,8.991078,25.719428,93.252412,5.515095,678.869015
15,NewReno,8.973781,18.412248,98.184087,1.247825,679.113818
15,FR,8.875849,30.082621,93.771604,5.346780,679.175566
15,GFR,8.726716,35.755498,93.141338,5.468350,679.172823
15,JA-GFR,8.875849,30.082621,93.771604,5.346780,679.175566
20,NewReno,8.747746,28.082486,97.240666,2.108705,679.599083
20,FR,8.563023,42.873326,93.981420,3.650020,679.800577
20,GFR,8.333459,36.741033,94.929394,3.576435,678.743176
20,JA-GFR,8.563023,42.873326,93.981420,3.650020,679.800577
25,NewReno,6.558357,25.285791,96.503620,2.326505,675.216433
25,FR,7.368979,21.913326,95.462851,3.475759,676.531680
25,GFR,7.766912,35.143219,94.627903,3.953191,677.067874
25,JA-GFR,7.368979,21.913326,95.462851,3.475759,676.531680
