vary_parameter,vary_value,run,variant_label,tcp_variant,mobility_mode,n_nodes,n_flows,packets_per_second,packet_size_bytes,node_speed_mps,tx_range_m,area_scale,field_side_m,throughput_mbps,mean_delay_ms,pdr_pct,drop_ratio_pct,total_energy_consumption_j,mean_energy_per_node_j,tx_packets,rx_packets,lost_packets
nodes,20,1,FR,ns3::TcpFr,mobile,20,30,300,512,20.000000,250.000000,3.000000,750.000000,9.799849,64.686849,94.324192,3.915845,343.440985,17.172049,34603,32639,1355
nodes,40,1,FR,ns3::TcpFr,mobile,40,30,300,512,20.000000,250.000000,3.000000,750.000000,8.563023,42.873326,93.981420,3.650020,679.800577,16.995014,30356,28529,1108
nodes,60,1,FR,ns3::TcpFr,mobile,60,30,300,512,20.000000,250.000000,3.000000,750.000000,7.340220,20.347121,94.729505,3.616931,1014.864800,16.914413,25823,24462,934
nodes,80,1,FR,ns3::TcpFr,mobile,80,30,300,512,20.000000,250.000000,3.000000,750.000000,8.380164,37.680436,93.754617,5.063461,1354.518884,16.931486,29782,27922,1508
nodes,20,1,GFR,ns3::TcpFrGfr,mobile,20,30,300,512,20.000000,250.000000,3.000000,750.000000,9.642735,52.647628,94.705033,3.959433,343.220552,17.161028,33919,32123,1343
nodes,40,1,GFR,ns3::TcpFrGfr,mobile,40,30,300,512,20.000000,250.000000,3.000000,750.000000,8.333459,36.741033,94.929394,3.576435,678.743176,16.968579,29247,27764,1046
nodes,60,1,GFR,ns3::TcpFrGfr,mobile,60,30,300,512,20.000000,250.000000,3.000000,750.000000,7.340220,20.347121,94.729505,3.616931,1014.864800,16.914413,25823,24462,934
nodes,80,1,GFR,ns3::TcpFrGfr,mobile,80,30,300,512,20.000000,250.000000,3.000000,750.000000,7.731872,34.172884,93.296170,5.411569,1353.460461,16.918256,27626,25774,1495
nodes,20,1,JA-GFR,ns3::TcpFrGfrJitter,mobile,20,30,300,512,20.000000,250.000000,3.000000,750.000000,9.761193,82.859510,94.123607,3.682154,343.718822,17.185941,34545,32515,1272
nodes,40,1,JA-GFR,ns3::TcpFrGfrJitter,mobile,40,30,300,512,20.000000,250.000000,3.000000,750.000000,8.563023,42.873326,93.981420,3.650020,679.800577,16.995014,30356,28529,1108
nodes,60,1,JA-GFR,ns3::TcpFrGfrJitter,mobile,60,30,300,512,20.000000,250.000000,3.000000,750.000000,7.340220,20.347121,94.729505,3.616931,1014.864800,16.914413,25823,24462,934
nodes,80,1,JA-GFR,ns3::TcpFrGfrJitter,mobile,80,30,300,512,20.000000,250.000000,3.000000,750.000000,8.380164,37.680436,93.754617,5.063461,1354.518884,16.931486,29782,27922,1508
nodes,20,1,NewReno,ns3::TcpNewReno,mobile,20,30,300,512,20.000000,250.000000,3.000000,750.000000,10.288653,39.432999,97.799344,1.270158,343.406651,17.170333,35035,34264,445
nodes,40,1,NewReno,ns3::TcpNewReno,mobile,40,30,300,512,20.000000,250.000000,3.000000,750.000000,8.747746,28.082486,97.240666,2.108705,679.599083,16.989977,29971,29144,632
nodes,60,1,NewReno,ns3::TcpNewReno,mobile,60,30,300,512,20.000000,250.000000,3.000000,750.000000,7.282790,16.253928,97.733038,1.268371,1014.862524,16.914375,24835,24272,315
nodes,80,1,NewReno,ns3::TcpNewReno,mobile,80,30,300,512,20.000000,250.000000,3.000000,750.000000,7.888143,34.912334,95.163801,3.471493,1352.869549,16.910869,27625,26289,959
