variant,n_nodes,n_flows,packets_per_second,coverage_multiplier,simulation_time_s,throughput_mbps,mean_throughput_per_node_mbps,mean_delay_ms,pdr_pct,drop_ratio_pct,total_energy_j,mean_energy_per_node_j
ns3::TcpNewReno,10,50,400,1,20,0.011,0.001,756.466,31.754,26.316,10.072,1.007
ns3::TcpNewReno,10,50,400,2,20,0.024,0.002,397.002,49.796,22.177,9.174,0.917
ns3::TcpNewReno,10,50,400,3,20,0.035,0.004,500.427,62.861,19.471,8.922,0.892
ns3::TcpNewReno,10,50,400,4,20,0.051,0.005,480.939,74.040,12.828,8.105,0.810
ns3::TcpNewReno,10,50,400,5,20,0.073,0.007,357.595,79.341,10.928,7.720,0.772
ns3::TcpFr,10,50,400,1,20,0.011,0.001,756.466,31.754,26.316,10.072,1.007
ns3::TcpFr,10,50,400,2,20,0.035,0.003,582.075,53.479,21.703,9.022,0.902
ns3::TcpFr,10,50,400,3,20,0.052,0.005,595.988,70.326,15.721,8.641,0.864
ns3::TcpFr,10,50,400,4,20,0.071,0.007,454.353,64.112,15.140,7.847,0.785
ns3::TcpFr,10,50,400,5,20,0.092,0.009,363.640,80.970,7.939,7.529,0.753
ns3::TcpFrGfr,10,50,400,1,20,0.011,0.001,756.466,31.754,26.316,10.072,1.007
ns3::TcpFrGfr,10,50,400,2,20,0.035,0.003,582.075,53.479,21.703,9.022,0.902
ns3::TcpFrGfr,10,50,400,3,20,0.052,0.005,595.988,70.326,15.721,8.641,0.864
ns3::TcpFrGfr,10,50,400,4,20,0.071,0.007,454.353,64.112,15.140,7.847,0.785
ns3::TcpFrGfr,10,50,400,5,20,0.092,0.009,363.640,80.970,7.939,7.529,0.753
ns3::TcpFrGfrJitter,10,50,400,1,20,0.011,0.001,756.466,31.754,26.316,10.072,1.007
ns3::TcpFrGfrJitter,10,50,400,2,20,0.035,0.003,582.075,53.479,21.703,9.022,0.902
ns3::TcpFrGfrJitter,10,50,400,3,20,0.052,0.005,595.988,70.326,15.721,8.641,0.864
ns3::TcpFrGfrJitter,10,50,400,4,20,0.071,0.007,454.353,64.112,15.140,7.847,0.785
ns3::TcpFrGfrJitter,10,50,400,5,20,0.092,0.009,363.640,80.970,7.939,7.529,0.753
