variant,n_nodes,n_flows,packets_per_second,coverage_multiplier,simulation_time_s,throughput_mbps,mean_throughput_per_node_mbps,mean_delay_ms,pdr_pct,drop_ratio_pct,total_energy_j,mean_energy_per_node_j
ns3::TcpNewReno,10,10,400,5,20,0.003,0.000,1584.714,53.488,26.744,9.828,0.983
ns3::TcpNewReno,10,20,400,5,20,0.019,0.002,509.011,68.421,15.288,9.336,0.934
ns3::TcpNewReno,10,30,400,5,20,0.033,0.003,465.835,70.306,13.392,8.820,0.882
ns3::TcpNewReno,10,40,400,5,20,0.057,0.006,382.102,79.247,10.618,8.271,0.827
ns3::TcpNewReno,10,50,400,5,20,0.073,0.007,357.595,79.341,10.928,7.720,0.772
ns3::TcpFr,10,10,400,5,20,0.004,0.000,1306.170,55.446,23.762,9.892,0.989
ns3::TcpFr,10,20,400,5,20,0.021,0.002,641.001,65.401,23.840,9.336,0.934
ns3::TcpFr,10,30,400,5,20,0.039,0.004,1125.521,65.385,20.979,8.794,0.879
ns3::TcpFr,10,40,400,5,20,0.067,0.007,1205.054,62.720,7.807,8.081,0.808
ns3::TcpFr,10,50,400,5,20,0.092,0.009,363.640,80.970,7.939,7.529,0.753
ns3::TcpFrGfr,10,10,400,5,20,0.004,0.000,1306.170,55.446,23.762,9.892,0.989
ns3::TcpFrGfr,10,20,400,5,20,0.021,0.002,641.001,65.401,23.840,9.336,0.934
ns3::TcpFrGfr,10,30,400,5,20,0.039,0.004,1125.521,65.385,20.979,8.794,0.879
ns3::TcpFrGfr,10,40,400,5,20,0.067,0.007,1205.054,62.720,7.807,8.081,0.808
ns3::TcpFrGfr,10,50,400,5,20,0.092,0.009,363.640,80.970,7.939,7.529,0.753
ns3::TcpFrGfrJitter,10,10,400,5,20,0.004,0.000,1306.170,55.446,23.762,9.892,0.989
ns3::TcpFrGfrJitter,10,20,400,5,20,0.021,0.002,641.001,65.401,23.840,9.336,0.934
ns3::TcpFrGfrJitter,10,30,400,5,20,0.039,0.004,1125.521,65.385,20.979,8.794,0.879
ns3::TcpFrGfrJitter,10,40,400,5,20,0.067,0.007,1205.054,62.720,7.807,8.081,0.808
ns3::TcpFrGfrJitter,10,50,400,5,20,0.092,0.009,363.640,80.970,7.939,7.529,0.753
