variant,n_nodes,n_flows,packets_per_second,coverage_multiplier,simulation_time_s,throughput_mbps,mean_throughput_per_node_mbps,mean_delay_ms,pdr_pct,drop_ratio_pct,total_energy_j,mean_energy_per_node_j
ns3::TcpNewReno,20,50,400,5,20,0.030,0.001,738.702,64.382,18.778,18.623,0.931
ns3::TcpNewReno,40,50,400,5,20,0.018,0.000,1063.923,44.482,32.088,40.410,1.010
ns3::TcpNewReno,60,50,400,5,20,0.011,0.000,1413.727,34.433,29.072,61.968,1.033
ns3::TcpNewReno,80,50,400,5,20,0.013,0.000,1018.402,36.525,37.766,83.082,1.039
ns3::TcpNewReno,100,50,400,5,20,0.013,0.000,1162.647,36.398,35.647,104.700,1.047
ns3::TcpFr,20,50,400,5,20,0.028,0.001,792.654,62.443,19.847,18.581,0.929
ns3::TcpFr,40,50,400,5,20,0.018,0.000,1050.404,43.182,34.253,40.451,1.011
ns3::TcpFr,60,50,400,5,20,0.011,0.000,1413.727,34.433,29.072,61.968,1.033
ns3::TcpFr,80,50,400,5,20,0.014,0.000,1187.788,33.488,37.346,82.772,1.035
ns3::TcpFr,100,50,400,5,20,0.012,0.000,1167.261,36.133,37.109,104.959,1.050
ns3::TcpFrGfr,20,50,400,5,20,0.028,0.001,792.654,62.443,19.847,18.581,0.929
ns3::TcpFrGfr,40,50,400,5,20,0.018,0.000,1050.404,43.182,34.253,40.451,1.011
ns3::TcpFrGfr,60,50,400,5,20,0.011,0.000,1413.727,34.433,29.072,61.968,1.033
ns3::TcpFrGfr,80,50,400,5,20,0.014,0.000,1187.788,33.488,37.346,82.772,1.035
ns3::TcpFrGfr,100,50,400,5,20,0.012,0.000,1167.261,36.133,37.109,104.959,1.050
ns3::TcpFrGfrJitter,20,50,400,5,20,0.028,0.001,792.654,62.443,19.847,18.581,0.929
ns3::TcpFrGfrJitter,40,50,400,5,20,0.018,0.000,1050.404,43.182,34.253,40.451,1.011
ns3::TcpFrGfrJitter,60,50,400,5,20,0.011,0.000,1413.727,34.433,29.072,61.968,1.033
ns3::TcpFrGfrJitter,80,50,400,5,20,0.014,0.000,1187.788,33.488,37.346,82.772,1.035
ns3::TcpFrGfrJitter,100,50,400,5,20,0.012,0.000,1167.261,36.133,37.109,104.959,1.050
