variant,n_nodes,n_flows,packets_per_second,coverage_multiplier,simulation_time_s,throughput_mbps,mean_throughput_per_node_mbps,mean_delay_ms,pdr_pct,drop_ratio_pct,total_energy_j,mean_energy_per_node_j
ns3::TcpNewReno,10,50,100,5,20,0.083,0.008,318.729,82.329,7.740,7.673,0.767
ns3::TcpNewReno,10,50,200,5,20,0.088,0.009,308.309,81.660,8.172,7.608,0.761
ns3::TcpNewReno,10,50,300,5,20,0.081,0.008,322.480,80.801,10.152,7.693,0.769
ns3::TcpNewReno,10,50,400,5,20,0.073,0.007,357.595,79.341,10.928,7.720,0.772
ns3::TcpNewReno,10,50,500,5,20,0.072,0.007,361.077,78.767,10.578,7.744,0.774
ns3::TcpFr,10,50,100,5,20,0.086,0.009,341.517,79.222,8.604,7.588,0.759
ns3::TcpFr,10,50,200,5,20,0.084,0.008,440.961,75.496,13.524,7.674,0.767
ns3::TcpFr,10,50,300,5,20,0.086,0.009,408.348,79.042,10.927,7.563,0.756
ns3::TcpFr,10,50,400,5,20,0.092,0.009,363.640,80.970,7.939,7.529,0.753
ns3::TcpFr,10,50,500,5,20,0.078,0.008,368.430,79.366,9.437,7.731,0.773
ns3::TcpFrGfr,10,50,100,5,20,0.086,0.009,341.517,79.222,8.604,7.588,0.759
ns3::TcpFrGfr,10,50,200,5,20,0.084,0.008,440.961,75.496,13.524,7.674,0.767
ns3::TcpFrGfr,10,50,300,5,20,0.086,0.009,408.348,79.042,10.927,7.563,0.756
ns3::TcpFrGfr,10,50,400,5,20,0.092,0.009,363.640,80.970,7.939,7.529,0.753
ns3::TcpFrGfr,10,50,500,5,20,0.078,0.008,368.430,79.366,9.437,7.731,0.773
ns3::TcpFrGfrJitter,10,50,100,5,20,0.086,0.009,341.517,79.222,8.604,7.588,0.759
ns3::TcpFrGfrJitter,10,50,200,5,20,0.084,0.008,440.961,75.496,13.524,7.674,0.767
ns3::TcpFrGfrJitter,10,50,300,5,20,0.086,0.009,408.348,79.042,10.927,7.563,0.756
ns3::TcpFrGfrJitter,10,50,400,5,20,0.092,0.009,363.640,80.970,7.939,7.529,0.753
ns3::TcpFrGfrJitter,10,50,500,5,20,0.078,0.008,368.430,79.366,9.437,7.731,0.773
