time_s,reno,sack,fr,gfr,jitter
2,0.008192,0.008192,0.008192,0.008192,0.008192
3,0.04096,0.04096,0.04096,0.04096,0.04096
4,0.090112,0.090112,0.090112,0.090112,0.090112
5,0.212992,0.212992,0.212992,0.212992,0.212992
6,0.49152,0.49152,0.49152,0.49152,0.49152
7,0.69632,0.69632,0.69632,0.69632,0.69632
8,1.77766,1.77766,1.77766,1.77766,1.77766
9,2.09715,2.09715,2.09715,2.09715,2.09715
10,2.09715,0.720896,0.663552,0.663552,0.663552
11,2.09715,1.54829,2.09715,2.09715,2.09715
12,2.09715,1.00762,2.09715,2.09715,2.09715
13,2.09715,1.024,2.09715,2.09715,2.09715
14,2.09715,1.04038,2.09715,2.09715,2.09715
15,2.09715,1.04858,2.09715,2.09715,2.09715
16,2.09715,1.06496,2.09715,2.09715,2.09715
17,2.09715,1.08954,2.09715,2.09715,2.09715
18,2.09715,1.08134,2.09715,2.09715,2.09715
19,2.09715,1.1223,2.08077,2.08077,2.08077
20,2.09715,1.1305,2.09715,2.09715,2.09715
21,2.09715,1.15507,2.09715,2.09715,2.09715
22,2.09715,1.16326,2.09715,2.09715,2.09715
23,2.09715,1.18784,2.09715,2.09715,2.09715
24,2.09715,1.18784,2.09715,2.09715,2.09715
25,2.09715,1.21242,1.37626,1.37626,1.37626
26,2.09715,1.22061,0.016384,0.016384,0.016384
27,2.09715,1.23699,0.024576,0.024576,0.024576
28,2.09715,1.25338,1.08134,1.08134,1.08134
29,2.09715,1.26976,2.08896,2.08896,2.08896
30,1.99885,1.28614,2.09715,2.09715,2.09715
31,2.09715,1.30253,2.09715,2.09715,2.09715
32,2.09715,1.31891,2.09715,2.09715,2.09715
33,2.09715,1.3353,2.09715,2.09715,2.09715
34,2.09715,1.35168,2.09715,2.09715,2.09715
35,2.09715,1.35987,2.09715,2.09715,2.09715
36,2.09715,1.36806,2.09715,2.09715,2.09715
37,2.09715,1.39264,1.86778,1.86778,1.86778
38,2.09715,1.40083,1.83501,1.83501,1.83501
39,2.09715,1.42541,1.83501,1.83501,1.83501
40,2.09715,1.40083,1.83501,1.83501,1.83501
41,1.99885,1.44998,2.06438,2.06438,2.06438
42,1.90054,1.47456,2.09715,2.09715,2.09715
43,2.09715,1.48275,1.36806,1.36806,1.36806
44,2.09715,1.49094,2.09715,2.09715,2.09715
45,2.09715,1.51552,2.09715,2.09715,2.09715
46,2.09715,1.52371,2.09715,2.09715,2.09715
47,2.09715,1.54829,2.09715,2.09715,2.09715
48,2.09715,1.56467,2.09715,2.09715,2.09715
49,1.47456,1.58106,2.09715,2.09715,2.09715
50,1.024,1.59744,2.09715,2.09715,2.09715
51,0.729088,1.61382,0.933888,0.933888,0.933888
52,0.016384,1.61382,0.016384,0.016384,0.016384
53,1.024,1.64659,1.06496,1.06496,1.06496
54,0.057344,1.64659,0.08192,0.08192,0.08192
55,0.08192,1.67936,0.172032,0.172032,0.172032
56,0.08192,1.67936,0.434176,0.434176,0.434176
57,0.098304,1.71213,0.98304,0.98304,0.98304
58,0.106496,1.70394,1.93331,1.93331,1.93331
59,0.114688,1.72851,2.09715,2.09715,2.09715
60,0.147456,1.7449,2.09715,2.09715,2.09715
61,0.147456,1.76128,2.09715,2.09715,2.09715
62,0.172032,1.77766,2.09715,2.09715,2.09715
63,0.172032,1.64659,2.09715,2.09715,2.09715
64,0.155648,1.44179,2.09715,2.09715,2.09715
65,0.2048,1.52371,2.09715,2.09715,2.09715
66,0.221184,1.8432,2.09715,2.09715,2.09715
67,0.229376,1.8432,2.09715,2.09715,2.09715
68,0.24576,1.87597,1.8432,1.8432,1.8432
69,0.262144,1.86778,1.76128,1.76128,1.76128
70,0.270336,1.89235,2.09715,2.09715,2.09715
71,0.294912,1.90874,2.09715,2.09715,2.09715
72,0.311296,1.92512,2.09715,2.09715,2.09715
73,0.319488,1.9415,2.09715,2.09715,2.09715
74,0.344064,1.95789,2.09715,2.09715,2.09715
75,0.360448,1.97427,0.12288,0.12288,0.12288
76,0.36864,1.9415,0.016384,0.016384,0.016384
77,0.335872,2.00704,1.06496,1.06496,1.06496
78,0.4096,2.00704,0.114688,0.114688,0.114688
79,0.401408,2.03981,0.24576,0.24576,0.24576
80,0.425984,0.835584,0.540672,0.540672,0.540672
81,0.442368,1.54829,1.22061,1.22061,1.22061
82,0.475136,0.991232,2.09715,2.09715,2.09715
83,0.483328,1.00762,2.09715,2.09715,2.09715
84,0.49152,1.024,1.30253,1.30253,1.30253
85,0.507904,1.04038,1.05677,1.05677,1.05677
86,0.524288,1.05677,2.09715,2.09715,2.09715
87,0.540672,1.07315,2.09715,2.09715,2.09715
88,0.57344,1.08954,2.09715,2.09715,2.09715
89,0.57344,1.10592,2.09715,2.09715,2.09715
90,0.589824,1.1223,1.06496,1.06496,1.06496
91,0.6144,1.14688,2.09715,2.09715,2.09715
92,0.622592,1.15507,2.09715,2.09715,2.09715
93,0.663552,1.17965,2.09715,2.09715,2.09715
94,0.65536,1.18784,2.09715,2.09715,2.09715
95,0.671744,1.21242,2.09715,2.09715,2.09715
96,0.688128,1.22061,2.09715,2.09715,2.09715
97,0.704512,1.2288,2.09715,2.09715,2.09715
98,0.720896,1.22061,2.09715,2.09715,2.09715
99,0.729088,1.26157,2.09715,2.09715,2.09715
100,0.581632,1.28614,1.35987,1.35987,1.35987
101,0.770048,1.29434,0.016384,0.016384,0.016384
102,0.786432,1.31891,0.024576,0.024576,0.024576
103,0.8192,1.3271,1.08134,1.08134,1.08134
104,0.835584,1.35168,2.08896,2.08896,2.08896
105,0.843776,1.35168,2.09715,2.09715,2.09715
106,0.868352,1.36806,2.09715,2.09715,2.09715
107,0.876544,0.65536,2.09715,2.09715,2.09715
108,0.90112,1.29434,2.09715,2.09715,2.09715
109,0.909312,0.65536,2.09715,2.09715,2.09715
110,0.933888,0.663552,2.09715,2.09715,2.09715
111,0.950272,0.688128,2.09715,2.09715,2.09715
112,0.966656,0.69632,2.09715,2.09715,2.09715
113,0.991232,0.720896,2.09715,2.09715,2.09715
114,0.999424,0.729088,2.09715,2.09715,2.09715
115,1.00762,0.753664,2.09715,2.09715,2.09715
116,1.03219,0.548864,2.08077,2.08077,2.08077
117,1.04858,0.360448,1.83501,1.83501,1.83501
118,1.06496,0.36864,1.83501,1.83501,1.83501
119,1.08134,0.393216,0.98304,0.98304,0.98304
120,1.10592,0.352256,0.016384,0.016384,0.016384
121,1.11411,0.32768,1.06496,1.06496,1.06496
122,1.14688,0.385024,0.08192,0.08192,0.08192
123,1.09773,0.434176,0.188416,0.188416,0.188416
124,0.729088,0.45056,0.417792,0.417792,0.417792
125,1.05677,0.458752,0.933888,0.933888,0.933888
126,0.04096,0.483328,1.87597,1.87597,1.87597
127,0.065536,0.49152,2.09715,2.09715,2.09715
128,0.08192,0.36864,2.09715,2.09715,2.09715
129,0.114688,0.385024,2.09715,2.09715,2.09715
130,0.155648,0.24576,2.03162,2.03162,2.03162
131,0.188416,0.253952,2.09715,2.09715,2.09715
132,0.2048,0.270336,2.09715,2.09715,2.09715
133,0.212992,0.278528,2.09715,2.09715,2.09715
134,0.221184,0.303104,2.09715,2.09715,2.09715
135,0.221184,0.311296,2.09715,2.09715,2.09715
136,0.172032,0.335872,2.09715,2.09715,2.09715
137,0.24576,0.344064,2.09715,2.09715,2.09715
138,0.270336,0.36864,2.09715,2.09715,2.09715
139,0.294912,0.376832,2.09715,2.09715,2.09715
140,0.344064,0.401408,2.09715,2.09715,2.09715
141,0.401408,0.4096,0.843776,0.843776,0.843776
